hour,visits,week_start,week_end
4,26,2024-06-17,2024-06-23
5,26,2024-06-17,2024-06-23
6,58,2024-06-17,2024-06-23
7,454,2024-06-17,2024-06-23
8,897,2024-06-17,2024-06-23
9,1934,2024-06-17,2024-06-23
10,2178,2024-06-17,2024-06-23
11,3063,2024-06-17,2024-06-23
12,3302,2024-06-17,2024-06-23
13,4026,2024-06-17,2024-06-23
14,5924,2024-06-17,2024-06-23
15,6731,2024-06-17,2024-06-23
16,8792,2024-06-17,2024-06-23
17,9812,2024-06-17,2024-06-23
18,12853,2024-06-17,2024-06-23
19,11962,2024-06-17,2024-06-23
20,10836,2024-06-17,2024-06-23
21,3016,2024-06-17,2024-06-23
22,1163,2024-06-17,2024-06-23
23,689,2024-06-17,2024-06-23
0,151,2024-06-24,2024-06-30
1,0,2024-06-24,2024-06-30
2,0,2024-06-24,2024-06-30
3,0,2024-06-24,2024-06-30
4,0,2024-06-24,2024-06-30
5,0,2024-06-24,2024-06-30
6,26,2024-06-24,2024-06-30
7,26,2024-06-24,2024-06-30
8,1196,2024-06-24,2024-06-30
9,1814,2024-06-24,2024-06-30
10,1529,2024-06-24,2024-06-30
11,1708,2024-06-24,2024-06-30
12,2135,2024-06-24,2024-06-30
13,3340,2024-06-24,2024-06-30
14,4516,2024-06-24,2024-06-30
15,5184,2024-06-24,2024-06-30
16,5788,2024-06-24,2024-06-30
17,6583,2024-06-24,2024-06-30
18,6921,2024-06-24,2024-06-30
19,5582,2024-06-24,2024-06-30
20,4590,2024-06-24,2024-06-30
21,2393,2024-06-24,2024-06-30
22,792,2024-06-24,2024-06-30
23,393,2024-06-24,2024-06-30
0,404,2024-07-01,2024-07-07
1,454,2024-07-01,2024-07-07
2,89,2024-07-01,2024-07-07
3,89,2024-07-01,2024-07-07
4,89,2024-07-01,2024-07-07
5,89,2024-07-01,2024-07-07
6,204,2024-07-01,2024-07-07
7,375,2024-07-01,2024-07-07
8,719,2024-07-01,2024-07-07
9,1263,2024-07-01,2024-07-07
10,2253,2024-07-01,2024-07-07
11,3308,2024-07-01,2024-07-07
12,4426,2024-07-01,2024-07-07
13,5725,2024-07-01,2024-07-07
14,7435,2024-07-01,2024-07-07
15,7241,2024-07-01,2024-07-07
16,7604,2024-07-01,2024-07-07
17,8469,2024-07-01,2024-07-07
18,8425,2024-07-01,2024-07-07
19,8136,2024-07-01,2024-07-07
20,6524,2024-07-01,2024-07-07
21,3861,2024-07-01,2024-07-07
22,1678,2024-07-01,2024-07-07
23,586,2024-07-01,2024-07-07
0,485,2024-07-08,2024-07-14
1,117,2024-07-08,2024-07-14
2,229,2024-07-08,2024-07-14
3,202,2024-07-08,2024-07-14
4,202,2024-07-08,2024-07-14
5,144,2024-07-08,2024-07-14
6,144,2024-07-08,2024-07-14
7,259,2024-07-08,2024-07-14
8,373,2024-07-08,2024-07-14
9,1286,2024-07-08,2024-07-14
10,1430,2024-07-08,2024-07-14
11,1689,2024-07-08,2024-07-14
12,3471,2024-07-08,2024-07-14
13,4759,2024-07-08,2024-07-14
14,5339,2024-07-08,2024-07-14
15,5377,2024-07-08,2024-07-14
16,5584,2024-07-08,2024-07-14
17,6458,2024-07-08,2024-07-14
18,5817,2024-07-08,2024-07-14
19,4781,2024-07-08,2024-07-14
20,2491,2024-07-08,2024-07-14
21,1521,2024-07-08,2024-07-14
22,1127,2024-07-08,2024-07-14
23,721,2024-07-08,2024-07-14
0,225,2024-07-15,2024-07-21
1,120,2024-07-15,2024-07-21
2,114,2024-07-15,2024-07-21
3,114,2024-07-15,2024-07-21
4,0,2024-07-15,2024-07-21
5,0,2024-07-15,2024-07-21
6,115,2024-07-15,2024-07-21
7,357,2024-07-15,2024-07-21
8,701,2024-07-15,2024-07-21
9,1591,2024-07-15,2024-07-21
10,2002,2024-07-15,2024-07-21
11,1729,2024-07-15,2024-07-21
12,2654,2024-07-15,2024-07-21
13,3797,2024-07-15,2024-07-21
14,5365,2024-07-15,2024-07-21
15,6703,2024-07-15,2024-07-21
16,7831,2024-07-15,2024-07-21
17,6462,2024-07-15,2024-07-21
18,5715,2024-07-15,2024-07-21
19,4526,2024-07-15,2024-07-21
20,3722,2024-07-15,2024-07-21
21,1622,2024-07-15,2024-07-21
22,948,2024-07-15,2024-07-21
23,487,2024-07-15,2024-07-21
0,463,2024-07-22,2024-07-28
