hour,visits,week_start,week_end
19,1351,2024-07-08,2024-07-14
20,1493,2024-07-08,2024-07-14
21,1463,2024-07-08,2024-07-14
22,1219,2024-07-08,2024-07-14
23,1393,2024-07-08,2024-07-14
0,1018,2024-07-15,2024-07-21
1,386,2024-07-15,2024-07-21
2,748,2024-07-15,2024-07-21
3,554,2024-07-15,2024-07-21
4,215,2024-07-15,2024-07-21
5,215,2024-07-15,2024-07-21
6,264,2024-07-15,2024-07-21
7,738,2024-07-15,2024-07-21
8,722,2024-07-15,2024-07-21
9,809,2024-07-15,2024-07-21
10,904,2024-07-15,2024-07-21
11,1104,2024-07-15,2024-07-21
12,1004,2024-07-15,2024-07-21
13,611,2024-07-15,2024-07-21
14,881,2024-07-15,2024-07-21
15,1161,2024-07-15,2024-07-21
16,880,2024-07-15,2024-07-21
17,539,2024-07-15,2024-07-21
18,1584,2024-07-15,2024-07-21
19,1805,2024-07-15,2024-07-21
20,1474,2024-07-15,2024-07-21
21,1354,2024-07-15,2024-07-21
22,875,2024-07-15,2024-07-21
23,1412,2024-07-15,2024-07-21
0,1562,2024-07-22,2024-07-28
1,761,2024-07-22,2024-07-28
2,666,2024-07-22,2024-07-28
3,742,2024-07-22,2024-07-28
4,517,2024-07-22,2024-07-28
5,438,2024-07-22,2024-07-28
6,618,2024-07-22,2024-07-28
7,1052,2024-07-22,2024-07-28
8,1101,2024-07-22,2024-07-28
9,1236,2024-07-22,2024-07-28
10,1035,2024-07-22,2024-07-28
11,1326,2024-07-22,2024-07-28
12,1246,2024-07-22,2024-07-28
13,953,2024-07-22,2024-07-28
14,828,2024-07-22,2024-07-28
15,2045,2024-07-22,2024-07-28
16,2862,2024-07-22,2024-07-28
17,2060,2024-07-22,2024-07-28
18,2619,2024-07-22,2024-07-28
19,3341,2024-07-22,2024-07-28
20,1667,2024-07-22,2024-07-28
21,1453,2024-07-22,2024-07-28
22,1877,2024-07-22,2024-07-28
23,2365,2024-07-22,2024-07-28
0,1255,2024-07-29,2024-08-04
1,903,2024-07-29,2024-08-04
2,540,2024-07-29,2024-08-04
3,516,2024-07-29,2024-08-04
4,331,2024-07-29,2024-08-04
5,370,2024-07-29,2024-08-04
6,623,2024-07-29,2024-08-04
7,998,2024-07-29,2024-08-04
8,1047,2024-07-29,2024-08-04
9,190,2024-07-29,2024-08-04
10,462,2024-07-29,2024-08-04
11,488,2024-07-29,2024-08-04
12,403,2024-07-29,2024-08-04
13,201,2024-07-29,2024-08-04
14,308,2024-07-29,2024-08-04
15,706,2024-07-29,2024-08-04
16,1030,2024-07-29,2024-08-04
17,1620,2024-07-29,2024-08-04
18,2131,2024-07-29,2024-08-04
19,2158,2024-07-29,2024-08-04
20,1287,2024-07-29,2024-08-04
21,788,2024-07-29,2024-08-04
22,1061,2024-07-29,2024-08-04
23,1405,2024-07-29,2024-08-04
0,1231,2024-08-05,2024-08-11
1,643,2024-08-05,2024-08-11
2,189,2024-08-05,2024-08-11
3,319,2024-08-05,2024-08-11
4,318,2024-08-05,2024-08-11
5,92,2024-08-05,2024-08-11
6,325,2024-08-05,2024-08-11
7,556,2024-08-05,2024-08-11
8,614,2024-08-05,2024-08-11
9,959,2024-08-05,2024-08-11
10,1073,2024-08-05,2024-08-11
11,558,2024-08-05,2024-08-11
12,891,2024-08-05,2024-08-11
13,1010,2024-08-05,2024-08-11
14,713,2024-08-05,2024-08-11
15,779,2024-08-05,2024-08-11
16,1120,2024-08-05,2024-08-11
17,1018,2024-08-05,2024-08-11
18,1700,2024-08-05,2024-08-11
19,2741,2024-08-05,2024-08-11
20,1730,2024-08-05,2024-08-11
21,1073,2024-08-05,2024-08-11
22,1163,2024-08-05,2024-08-11
23,1317,2024-08-05,2024-08-11
0,1457,2024-08-12,2024-08-18
1,919,2024-08-12,2024-08-18
2,388,2024-08-12,2024-08-18
3,368,2024-08-12,2024-08-18
4,461,2024-08-12,2024-08-18
5,279,2024-08-12,2024-08-18
6,354,2024-08-12,2024-08-18
7,688,2024-08-12,2024-08-18
8,667,2024-08-12,2024-08-18
9,290,2024-08-12,2024-08-18
10,261,2024-08-12,2024-08-18
11,880,2024-08-12,2024-08-18
12,1119,2024-08-12,2024-08-18
13,1095,2024-08-12,2024-08-18
14,1203,2024-08-12,2024-08-18
15,1161,2024-08-12,2024-08-18
16,1259,2024-08-12,2024-08-18
17,1119,2024-08-12,2024-08-18
18,2141,2024-08-12,2024-08-18
19,2623,2024-08-12,2024-08-18
20,1608,2024-08-12,2024-08-18
21,887,2024-08-12,2024-08-18
22,885,2024-08-12,2024-08-18
23,1604,2024-08-12,2024-08-18
0,1024,2024-08-19,2024-08-25
1,664,2024-08-19,2024-08-25
2,311,2024-08-19,2024-08-25
3,599,2024-08-19,2024-08-25
4,628,2024-08-19,2024-08-25
5,106,2024-08-19,2024-08-25
6,311,2024-08-19,2024-08-25
7,509,2024-08-19,2024-08-25
8,654,2024-08-19,2024-08-25
9,443,2024-08-19,2024-08-25
10,342,2024-08-19,2024-08-25
11,711,2024-08-19,2024-08-25
12,820,2024-08-19,2024-08-25
13,877,2024-08-19,2024-08-25
14,960,2024-08-19,2024-08-25
15,940,2024-08-19,2024-08-25
16,1507,2024-08-19,2024-08-25
17,1566,2024-08-19,2024-08-25
18,1889,2024-08-19,2024-08-25
19,1689,2024-08-19,2024-08-25
20,1216,2024-08-19,2024-08-25
21,735,2024-08-19,2024-08-25
22,1466,2024-08-19,2024-08-25
23,1462,2024-08-19,2024-08-25
0,2008,2024-08-26,2024-09-01
1,1509,2024-08-26,2024-09-01
2,316,2024-08-26,2024-09-01
3,699,2024-08-26,2024-09-01
4,667,2024-08-26,2024-09-01
5,100,2024-08-26,2024-09-01
6,186,2024-08-26,2024-09-01
7,941,2024-08-26,2024-09-01
8,1068,2024-08-26,2024-09-01
9,756,2024-08-26,2024-09-01
10,1185,2024-08-26,2024-09-01
11,1805,2024-08-26,2024-09-01
12,1056,2024-08-26,2024-09-01
13,1436,2024-08-26,2024-09-01
14,2008,2024-08-26,2024-09-01
15,1949,2024-08-26,2024-09-01
16,1399,2024-08-26,2024-09-01
17,1755,2024-08-26,2024-09-01
18,2137,2024-08-26,2024-09-01
19,2509,2024-08-26,2024-09-01
20,2363,2024-08-26,2024-09-01
21,1727,2024-08-26,2024-09-01
22,1549,2024-08-26,2024-09-01
23,1654,2024-08-26,2024-09-01
0,1210,2024-09-02,2024-09-08
1,584,2024-09-02,2024-09-08
2,191,2024-09-02,2024-09-08
3,257,2024-09-02,2024-09-08
4,161,2024-09-02,2024-09-08
5,81,2024-09-02,2024-09-08
6,115,2024-09-02,2024-09-08
7,702,2024-09-02,2024-09-08
8,801,2024-09-02,2024-09-08
9,462,2024-09-02,2024-09-08
10,715,2024-09-02,2024-09-08
11,909,2024-09-02,2024-09-08
12,732,2024-09-02,2024-09-08
13,358,2024-09-02,2024-09-08
14,617,2024-09-02,2024-09-08
15,672,2024-09-02,2024-09-08
16,1034,2024-09-02,2024-09-08
17,935,2024-09-02,2024-09-08
18,1486,2024-09-02,2024-09-08
19,1747,2024-09-02,2024-09-08
20,1846,2024-09-02,2024-09-08
21,899,2024-09-02,2024-09-08
22,600,2024-09-02,2024-09-08
23,1383,2024-09-02,2024-09-08
0,871,2024-09-09,2024-09-15
1,296,2024-09-09,2024-09-15
2,241,2024-09-09,2024-09-15
3,204,2024-09-09,2024-09-15
4,75,2024-09-09,2024-09-15
5,75,2024-09-09,2024-09-15
6,66,2024-09-09,2024-09-15
7,641,2024-09-09,2024-09-15
8,727,2024-09-09,2024-09-15
9,404,2024-09-09,2024-09-15
10,928,2024-09-09,2024-09-15
11,1120,2024-09-09,2024-09-15
12,724,2024-09-09,2024-09-15
13,389,2024-09-09,2024-09-15
14,1013,2024-09-09,2024-09-15
15,1778,2024-09-09,2024-09-15
16,1185,2024-09-09,2024-09-15
17,1050,2024-09-09,2024-09-15
18,2176,2024-09-09,2024-09-15
19,1780,2024-09-09,2024-09-15
20,793,2024-09-09,2024-09-15
21,550,2024-09-09,2024-09-15
22,519,2024-09-09,2024-09-15
23,1043,2024-09-09,2024-09-15
0,474,2024-09-16,2024-09-22
1,175,2024-09-16,2024-09-22
2,71,2024-09-16,2024-09-22
3,37,2024-09-16,2024-09-22
4,107,2024-09-16,2024-09-22
5,72,2024-09-16,2024-09-22
6,116,2024-09-16,2024-09-22
7,653,2024-09-16,2024-09-22
8,778,2024-09-16,2024-09-22
9,320,2024-09-16,2024-09-22
10,207,2024-09-16,2024-09-22
11,258,2024-09-16,2024-09-22
12,320,2024-09-16,2024-09-22
13,539,2024-09-16,2024-09-22
14,443,2024-09-16,2024-09-22
15,681,2024-09-16,2024-09-22
16,573,2024-09-16,2024-09-22
17,576,2024-09-16,2024-09-22
18,1061,2024-09-16,2024-09-22
19,1108,2024-09-16,2024-09-22
20,1035,2024-09-16,2024-09-22
21,395,2024-09-16,2024-09-22
22,308,2024-09-16,2024-09-22
23,402,2024-09-16,2024-09-22
0,594,2024-09-23,2024-09-29
1,38,2024-09-23,2024-09-29
2,28,2024-09-23,2024-09-29
3,28,2024-09-23,2024-09-29
4,0,2024-09-23,2024-09-29
5,0,2024-09-23,2024-09-29
6,30,2024-09-23,2024-09-29
7,390,2024-09-23,2024-09-29
8,430,2024-09-23,2024-09-29
9,242,2024-09-23,2024-09-29
10,349,2024-09-23,2024-09-29
11,317,2024-09-23,2024-09-29
12,272,2024-09-23,2024-09-29
13,443,2024-09-23,2024-09-29
14,691,2024-09-23,2024-09-29
15,747,2024-09-23,2024-09-29
16,654,2024-09-23,2024-09-29
17,955,2024-09-23,2024-09-29
18,1308,2024-09-23,2024-09-29
19,1661,2024-09-23,2024-09-29
20,1232,2024-09-23,2024-09-29
21,1096,2024-09-23,2024-09-29
22,492,2024-09-23,2024-09-29
23,790,2024-09-23,2024-09-29
